epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,1164.37,1.01743,0.76455,0.98512,0.67227,0.4507,0.50984,0.29779,1.31016,1.18084,1.12933,0.0002812,0.0002812,0.0002812
32,1201.79,1.01536,0.75054,0.98326,0.5659,0.50561,0.51092,0.30242,1.30853,1.16975,1.12287,0.00027724,0.00027724,0.00027724
33,1239.47,1.01908,0.7395,0.97883,0.59264,0.49854,0.49489,0.29583,1.30218,1.14916,1.1297,0.00027328,0.00027328,0.00027328
34,1276.89,1.02239,0.74013,0.98167,0.47352,0.54878,0.50649,0.28371,1.29413,1.18376,1.14034,0.00026932,0.00026932,0.00026932
35,1314.16,1.00373,0.72753,0.97617,0.68519,0.48294,0.52784,0.30531,1.29029,1.12217,1.12677,0.00026536,0.00026536,0.00026536
36,1351.5,1.00372,0.71789,0.97732,0.5409,0.44823,0.46112,0.28569,1.31322,1.1768,1.13519,0.0002614,0.0002614,0.0002614
37,1388.7,0.98877,0.70259,0.9658,0.63902,0.49687,0.51173,0.28222,1.331,1.1964,1.14612,0.00025744,0.00025744,0.00025744
38,1426.48,0.99628,0.70652,0.97292,0.63777,0.4645,0.51011,0.29424,1.32377,1.20376,1.15235,0.00025348,0.00025348,0.00025348
39,1464.09,0.99241,0.69843,0.96854,0.63996,0.43001,0.47713,0.29019,1.28941,1.17729,1.13106,0.00024952,0.00024952,0.00024952
40,1501.8,0.98338,0.68969,0.96767,0.65556,0.48621,0.52062,0.2972,1.32458,1.14092,1.14543,0.00024556,0.00024556,0.00024556
41,1538.76,0.9798,0.69054,0.96721,0.68749,0.43663,0.51211,0.28245,1.35411,1.1918,1.15665,0.0002416,0.0002416,0.0002416
42,1576.25,0.97696,0.67697,0.95892,0.70709,0.47839,0.52414,0.29873,1.31281,1.18269,1.14333,0.00023764,0.00023764,0.00023764
43,1613.55,0.96239,0.66382,0.95726,0.65223,0.48984,0.52146,0.29181,1.31882,1.17802,1.14217,0.00023368,0.00023368,0.00023368
44,1651.17,0.97731,0.67549,0.96291,0.51521,0.48763,0.52004,0.30343,1.28842,1.16583,1.13189,0.00022972,0.00022972,0.00022972
45,1688.65,0.96577,0.66128,0.95905,0.6177,0.45385,0.49619,0.27929,1.32433,1.19359,1.15335,0.00022576,0.00022576,0.00022576
46,1726.06,0.96423,0.66428,0.95742,0.54652,0.48218,0.51101,0.2952,1.30121,1.17961,1.1336,0.0002218,0.0002218,0.0002218
47,1763.7,0.94726,0.64619,0.95325,0.61017,0.49278,0.50511,0.29793,1.29874,1.21766,1.14176,0.00021784,0.00021784,0.00021784
48,1800.65,0.93765,0.63928,0.94982,0.61521,0.48221,0.51455,0.29478,1.31335,1.14222,1.14889,0.00021388,0.00021388,0.00021388
49,1839.42,0.93904,0.64074,0.95158,0.52035,0.52168,0.51865,0.30527,1.27211,1.16105,1.1282,0.00020992,0.00020992,0.00020992
50,1877.18,0.92842,0.62519,0.9468,0.65031,0.48256,0.50985,0.29481,1.3136,1.19814,1.14531,0.00020596,0.00020596,0.00020596
51,1914.54,0.94512,0.63185,0.95162,0.5338,0.48425,0.49615,0.28099,1.31957,1.17454,1.14991,0.000202,0.000202,0.000202
52,1951.82,0.93163,0.62289,0.95002,0.64223,0.49251,0.50725,0.28974,1.28642,1.13189,1.13488,0.00019804,0.00019804,0.00019804
53,1989.35,0.92329,0.6197,0.94705,0.66857,0.47398,0.52505,0.31074,1.27629,1.14799,1.13832,0.00019408,0.00019408,0.00019408
54,2026.67,0.91653,0.61319,0.94502,0.65828,0.47866,0.52551,0.30939,1.29498,1.17096,1.15197,0.00019012,0.00019012,0.00019012
55,2063.98,0.92122,0.61714,0.94132,0.73376,0.45561,0.52131,0.2883,1.32174,1.18711,1.15475,0.00018616,0.00018616,0.00018616
56,2101.27,0.9115,0.60362,0.93859,0.56946,0.47934,0.51573,0.29353,1.31651,1.16825,1.15631,0.0001822,0.0001822,0.0001822
57,2138.47,0.90904,0.60034,0.94056,0.64496,0.47414,0.51748,0.29885,1.28521,1.1349,1.13636,0.00017824,0.00017824,0.00017824
58,2175.96,0.89089,0.5924,0.93323,0.64366,0.44717,0.50785,0.29953,1.31327,1.15449,1.15753,0.00017428,0.00017428,0.00017428
59,2213.32,0.90159,0.59216,0.9365,0.68124,0.46403,0.52109,0.29743,1.31703,1.1556,1.15146,0.00017032,0.00017032,0.00017032
