epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3717,1.53274,3.40071,1.17701,0.51955,0.16033,0.12285,0.07238,1.47065,2.26182,1.167,0.000132544,0.000132544,0.000132544
2,62.9052,1.44848,2.20688,1.16329,0.62306,0.17355,0.1949,0.1131,1.41751,1.88371,1.15844,0.000263246,0.000263246,0.000263246
3,93.2156,1.44676,1.97909,1.16424,0.54244,0.2194,0.20332,0.12259,1.42756,1.75084,1.18224,0.000391307,0.000391307,0.000391307
4,125.424,1.39688,1.83299,1.15406,0.52884,0.24766,0.24734,0.14826,1.38165,1.63222,1.14472,0.00038812,0.00038812,0.00038812
5,153.683,1.37984,1.76145,1.13685,0.59318,0.24749,0.25683,0.15797,1.33804,1.54681,1.11634,0.00038416,0.00038416,0.00038416
